token_tikuna,token_oral,token_pos,token_spa,dic_entry,example,example_tikuna,example_spanish
nato̱ xwéchacüxü ,(na²to̱ x⁵we¹cha¹cüx²ü³),v.e., ser zurdo ,nato̱ xwéchacüxü (na²to̱ x⁵we¹cha¹cüx²ü³)  v.e. ser zurdo Chaueyax rünato̱ xwéchacüxü rü ngẽmacax̱ to̱ xwemaxã niwǘ ̃ãcü. Mi hermana es  zurda y por eso escribe con la mano izquierda.,Chaueyax rünato̱ xwéchacüxü rü ngẽmacax̱ to̱ xwemaxã niwǘ ̃ãcü. Mi hermana es  zurda y por eso escribe con la mano izquierda.,Chaueyax rünato̱ xwéchacüxü rü ngẽmacax̱ to̱ xwemaxã niwǘ ̃ãcü.,Mi hermana es  zurda y por eso escribe con la mano izquierda.
natu ,(na²tu⁴),v.i.," atorarse, atragantarse  ","natu (na²tu⁴) v.i. atorarse, atragantarse  (con espina de pescado) Choxnichinaxãmaxã natu i chauxacü. Mi hijo se  atora con una espina de pescado en la garganta.",Choxnichinaxãmaxã natu i chauxacü. Mi hijo se  atora con una espina de pescado en la garganta.,Choxnichinaxãmaxã natu i chauxacü.,Mi hijo se  atora con una espina de pescado en la garganta.
natú ,(na²tu¹⁵),v.t., jalar ,natú (na²tu¹⁵) v.t. jalar Yimá yatü rü naweü̃xü̃ natú. Ese hombre jala  la canoa.,Yimá yatü rü naweü̃xü̃ natú. Ese hombre jala  la canoa.,Yimá yatü rü naweü̃xü̃ natú.,Ese hombre jala  la canoa.
natúãchiparacü ,(na⁵tu¹⁵ã²chi²pa³ra⁵cü³),adj., que tiene la pierna  encogida ,natúãchiparacü (na⁵tu¹⁵ã²chi²pa³ra⁵cü³) adj. que tiene la pierna  encogida Véase nawãĩxãchiparacü,,,
natura ,(na²tu⁵ra⁵),v.e.," estar débil, estar debilitado ","natura (na²tu⁵ra⁵) v.e. estar débil, estar debilitado Natura i chaune  erü nidaxawe.  Mi hijo está débil porque está enfermo.  Véase nidaxawe",Natura i chaune  erü nidaxawe.  Mi hijo está débil porque está enfermo.,Natura i chaune  erü nidaxawe.,Mi hijo está débil porque está enfermo.
naturaxüchi ,(na²tu⁵rax⁵ü¹chi⁴),v.e.," estar muy grave, estar muy enfermo  ","naturaxüchi (na²tu⁵rax⁵ü¹chi⁴) v.e. estar muy grave, estar muy enfermo  Chorü o̱ xi rü naturaxüchi erü ãxtape tüxü̃  nangõ̱ x. Mi abuelo está muy grave porque una víbora lo mordió.",Chorü o̱ xi rü naturaxüchi erü ãxtape tüxü̃  nangõ̱ x. Mi abuelo está muy grave porque una víbora lo mordió.,Chorü o̱ xi rü naturaxüchi erü ãxtape tüxü̃  nangõ̱ x.,Mi abuelo está muy grave porque una víbora lo mordió.
natü1 ,(na²tü²),s.n., río  ,natü1 (na²tü²) s.n. río  Véase taxtü,,,
natü2 ,(na²³tü⁵),s.n., hierba,natü2 (na²³tü⁵) s.n. hierba,,,
natücaxma ,(na⁴tü²ca̱x⁵ma²),v.e.," ser en vano, ser inútil ","natücaxma (na⁴tü²ca̱x⁵ma²) v.e. ser en vano, ser inútil Natücaxma nixĩ  nax paxa ngutaquex̱ ewa ixũxü̃ ega tamapaxa ngéma nanguxgu i ngẽma ngutaque   e üxü̃. Es inútil ir rápido a  la reunión si el dirigente no llega pronto.",Natücaxma nixĩ  nax paxa ngutaquex̱ ewa ixũxü̃ ega tamapaxa ngéma nanguxgu i ngẽma ngutaque   e üxü̃. Es inútil ir rápido a  la reunión si el dirigente no llega pronto.,Natücaxma nixĩ  nax paxa ngutaquex̱ ewa ixũxü̃ ega tamapaxa ngéma nanguxgu i ngẽma ngutaque   e üxü̃.,Es inútil ir rápido a  la reunión si el dirigente no llega pronto.
natücaxmamare ,(na⁴tü²ca̱x ⁵ma²ma³re³),adv.,"  vanamente, en vano","natücaxmamare (na⁴tü²ca̱x ⁵ma²ma³re³) adv.  vanamente, en vanoNatücaxmamare naanewa chapuracü ega tama choxǘ ̃̃ nanaxütanügu. Si no  me paga, trabajo en vano en su chacra.","Natücaxmamare naanewa chapuracü ega tama choxǘ ̃̃ nanaxütanügu. Si no  me paga, trabajo en vano en su chacra.",Natücaxmamare naanewa chapuracü ega tama choxǘ ̃̃ nanaxütanügu.,"Si no  me paga, trabajo en vano en su chacra."
natüchacüxü ,(na²tü²cha¹cüx²ü³),s.n.,  afluente ,natüchacüxü (na²tü²cha¹cüx²ü³) s.n.  afluente (de un río),,,
natüchi ,(na²³tü⁵chi⁵),s.n.,"['fragmento, pedazo, miga', 'astilla']","natüchi (na²³tü⁵chi⁵) s.n.1.  fragmento, pedazo, miga2.  astilla",,,
natüchinexe ,(na²tü²chi²nex²e³),s.n.,  desembocadura,natüchinexe (na²tü²chi²nex²e³) s.n.  desembocadura,,,
natücumü ,(na²tü⁵cu⁵mü⁵),s.n.," grupo, conjunto, banda ","natücumü (na²tü⁵cu⁵mü⁵) s.n. grupo, conjunto, banda (de personas)Iscuerawa nangexma i taxretücumü i  buxü̃gü: nangexma i buxuchixü̃tücumü rü  nangexma i irüyamaegüxü̃tücümü. En la  escuela  hay dos grupos, el de los niños chicos y el  de los más grandes.","Iscuerawa nangexma i taxretücumü i  buxü̃gü: nangexma i buxuchixü̃tücumü rü  nangexma i irüyamaegüxü̃tücümü. En la  escuela  hay dos grupos, el de los niños chicos y el  de los más grandes.",Iscuerawa nangexma i taxretücumü i  buxü̃gü: nangexma i buxuchixü̃tücumü rü  nangexma i irüyamaegüxü̃tücümü.,"En la  escuela  hay dos grupos, el de los niños chicos y el  de los más grandes."
natücutü ,(na²tü²cu⁴tü⁵),s.n.," orilla, canto  ","natücutü (na²tü²cu⁴tü⁵) s.n. orilla, canto  (de un río)",,,
natücü ,(na²tü²cü³),s.f., tía ,natücü (na²tü²cü³) s.f. tía (paterna),,,
na⁵tü²rü⁵) ,(Colombia y Perú),conj.,"['pero, sino ', 'sin embargo, no obstante, en cambio  ']","natürü (na⁵tü²rü⁵) (Colombia y Perú) conj.1.  pero, sino Ngẽm a chaxũéga natürü  taxucürüwa erü napu. Pienso ir allá, pero no puedo porque está  lloviendo.2.  sin embargo, no obstante, en cambio  Brasil: notürü","Colombia y Perú) conj.1.  pero, sino Ngẽm a chaxũéga natürü  taxucürüwa erü napu. Pienso ir allá, pero no puedo porque está  lloviendo.2.","Colombia y Perú) conj.1.  pero, sino Ngẽm a chaxũéga natürü  taxucürüwa erü napu.","Pienso ir allá, pero no puedo porque está  lloviendo.2."
natütapexe ,(na²tü²ta⁵pex̱ ⁵e³),s.n.,cabecera ,natütapexe (na²tü²ta⁵pex̱ ⁵e³) s.n.cabecera (de una quebrada o de un río),,,
natüü̃chirupara ,(na²tü³ü⁵chi¹ru⁴pa³ra⁵),s.n., ropa ,"natüü̃chirupara (na²tü³ü⁵chi¹ru⁴pa³ra⁵)  s.n. ropa (interior), calzoncillos",,,
natüü̃gu ,(na²tü³ü̃⁵gu⁴),posp., debajo de  ,natüü̃gu (na²tü³ü̃⁵gu⁴) posp. debajo de  Natüü̃gu i ngẽma mecha nixĩ i chanaxǘ ̃xü̃ i chorü popera. Puse mis  papeles debajo de la mesa.,Natüü̃gu i ngẽma mecha nixĩ i chanaxǘ ̃xü̃ i chorü popera. Puse mis  papeles debajo de la mesa.,Natüü̃gu i ngẽma mecha nixĩ i chanaxǘ ̃xü̃ i chorü popera.,Puse mis  papeles debajo de la mesa.
natüü̃níxü̃ ,(na²tü³ü̃⁵nix¹ü⁴),s.n., sostén  ,natüü̃níxü̃ (na²tü³ü̃⁵nix¹ü⁴) s.n. sostén  (prenda interior de mujer),,,
natüxacü ,(na²tüx²a³cü⁵),s.n., quebrada  ,natüxacü (na²tüx²a³cü⁵) s.n. quebrada  Nangexma i natüxacüwa i mechiüxü̃ i dexá ega naxüaxchiügu i naxtaxawa.  En la quebrada hay agua limpia cuando el  agua de la cocha está muy sucia.,Nangexma i natüxacüwa i mechiüxü̃ i dexá ega naxüaxchiügu i naxtaxawa.  En la quebrada hay agua limpia cuando el  agua de la cocha está muy sucia.,Nangexma i natüxacüwa i mechiüxü̃ i dexá ega naxüaxchiügu i naxtaxawa.,En la quebrada hay agua limpia cuando el  agua de la cocha está muy sucia.
natü̱ xcü ,(na²tü̱ x⁵cü²),interj., ,natü̱ xcü (na²tü̱ x⁵cü²) interj. ¿qué le pasa?,,,
natüxü̃ ,(na²tüx³ü⁵),s.n.,"['falda', 'enagua']",natüxü̃ (na²tüx³ü⁵) s.n.1.  falda2.  enagua,,,
natü̱ xü ,(na²³tü̱ x⁵ü³),s.m., cuerda ,natü̱ xü (na²³tü̱ x⁵ü³) s.m. cuerda (de guitarra),,,
natüxüe ,(na²tüx⁵ü⁵e³),v.t., agarrar ,natüxüe (na²tüx⁵ü⁵e³) v.t. agarrar (de la quijada) Dabí rü  naxchicürawa natüxüe ga ai. David agarró al tigre de la quijada.,Dabí rü  naxchicürawa natüxüe ga ai. David agarró al tigre de la quijada.,Dabí rü  naxchicürawa natüxüe ga ai.,David agarró al tigre de la quijada.
natü̱ xüweta ,(na³⁵tü̱ x⁵ü³we⁴ta³),s.n.," pretina, faja ","natü̱ xüweta (na³⁵tü̱ x⁵ü³we⁴ta³) s.n. pretina, faja (parasujetarcarga  enla frente)",,,
naü̃ ,(na³ü̃⁵),s.m.," excremento, estiércol","naü̃ (na³ü̃⁵) s.m. excremento, estiércolYima wocaü̃ rü name nixĩ nax waixümü  namaxã ixüéüxü̃. El excremento del ganado es útil para  abonar la tierra.",Yima wocaü̃ rü name nixĩ nax waixümü  namaxã ixüéüxü̃. El excremento del ganado es útil para  abonar la tierra.,Yima wocaü̃ rü name nixĩ nax waixümü  namaxã ixüéüxü̃.,El excremento del ganado es útil para  abonar la tierra.
naü̃nüta ,(na³ü⁵nü²ta²),s.n.," intestino, tripa","naü̃nüta (na³ü⁵nü²ta²) s.n. intestino, tripa",,,
nawa ,(na²wa¹),posp.,"['en, para', 'hacia  ']","nawa (na²wa¹) posp.1.  en, para2.  hacia  Véase nagu",,,
nawa inaxügüxü̃ ,(na²wa¹ i⁴nax⁴ü⁴güx¹ü²),s.n., comienzo,nawa inaxügüxü̃ (na²wa¹ i⁴nax⁴ü⁴güx¹ü²)  s.n. comienzo,,,
nawa ixãũã́ ̃xü̃ ,(na²wa¹ ix⁴ãũ⁵ãx¹ü²),adj.,  asqueroso ,nawa ixãũã́ ̃xü̃ (na²wa¹ ix⁴ãũ⁵ãx¹ü²) adj.  asqueroso Tama ngẽma nachica i  nawa ixãũã́ ̃xü̃wa chaxũxchaü̃. No quiero i a ese sitio asqueroso.  Véase nawa rüxoxégaxü̃,Tama ngẽma nachica i  nawa ixãũã́ ̃xü̃wa chaxũxchaü̃. No quiero i a ese sitio asqueroso.,Tama ngẽma nachica i  nawa ixãũã́ ̃xü̃wa chaxũxchaü̃.,No quiero i a ese sitio asqueroso.
nawa iyacuáxü̃ ,(na²wa¹ i⁴ya⁵cuax¹ü²),adj.,"  último, postrero","nawa iyacuáxü̃ (na²wa¹ i⁴ya⁵cuax¹ü²) adj.  último, postrero",,,
nawa iyuxü̃ ,(na²wa¹ i⁴yux⁴ü²),adj.,  venenoso,nawa iyuxü̃ (na²wa¹ i⁴yux⁴ü²) adj.  venenoso,,,
nawa nachexechi ,(na²wa¹ na²chex¹e⁴chi²),v.t.," encender, prender ","nawa nachexechi (na²wa¹ na²chex¹e⁴chi²)  v.t. encender, prender (fuego) Papá rü nawa nachexechi ya yima üxü.  Papá enciende el fuego.",Papá rü nawa nachexechi ya yima üxü.  Papá enciende el fuego.,Papá rü nawa nachexechi ya yima üxü.,Papá enciende el fuego.
nawa nanangixichi ,(na²wa¹ na²na³ngix²i²chi²),v.t., incendiar ,nawa nanangixichi (na²wa¹ na²na³ngix²i²chi²)  v.t. incendiar Buxü̃ rü nawa nanangixichi ga guma ĩpata.  El niño incendió esa casa.,Buxü̃ rü nawa nanangixichi ga guma ĩpata.  El niño incendió esa casa.,Buxü̃ rü nawa nanangixichi ga guma ĩpata.,El niño incendió esa casa.
nawa nanga ,(na²wa¹ na²nga⁵),v.t.,  caminar ,"nawa nanga (na²wa¹ na²nga⁵) v.t.  caminar (encima), pisar Üxaxü̃wa  nawa nanga ga ãxtape. En la maleza pisó una víbora.",En la maleza pisó una víbora.,,
nawa nangexma ,(na²wa¹ na²ngex⁴ma²),v.e., estar contenido ,nawa nangexma (na²wa¹ na²ngex⁴ma²)  v.e. estar contenido Ngẽma datawa nangexma i chorü ui. Mi fariña está  en la lata.,Ngẽma datawa nangexma i chorü ui. Mi fariña está  en la lata.,Ngẽma datawa nangexma i chorü ui.,Mi fariña está  en la lata.
nawa nangu ,(na²wa¹ na²ngu³),v.i.,"['llegar ', 'llegar a ser ']",nawa nangu (na²wa¹ na²ngu³) v.i.1.  llegar (a un sitio) Dauxchitawa cueneewa naxũ rü nawa nangu ga  max̱ pü̃́ne. Se fue de caza y llegó hasta una loma.2.  llegar a ser Nawa nangu nax dutúru yixĩxü̃. Llegó a ser médico.,Dauxchitawa cueneewa naxũ rü nawa nangu ga  max̱ pü̃́ne. Se fue de caza y llegó hasta una loma.2.  llegar a ser Nawa nangu nax dutúru yixĩxü̃. Llegó a ser médico.,Dauxchitawa cueneewa naxũ rü nawa nangu ga  max̱ pü̃́ne. Se fue de caza y llegó hasta una loma.2.  llegar a ser Nawa nangu nax dutúru yixĩxü̃.,Llegó a ser médico.
nawa nanguga ,(na²wa¹ na²ngu³ga⁵),v.i.,"  llegar, alcanzar ","nawa nanguga (na²wa¹ na²ngu³ga⁵) v.i.  llegar, alcanzar (la voz) Dexachicawanidexa rü ngẽmacax nawa nanguga i  tocutü. Por medio de parlantes la voz llega hasta el otro lado del  lago.",Dexachicawanidexa rü ngẽmacax nawa nanguga i  tocutü. Por medio de parlantes la voz llega hasta el otro lado del  lago.,Dexachicawanidexa rü ngẽmacax nawa nanguga i  tocutü.,Por medio de parlantes la voz llega hasta el otro lado del  lago.
nawa nangu̱ x ,(na²wa¹ na²ngu̱ x⁵),v.t.," escudriñar,  estudiar ","nawa nangu̱ x (na²wa¹ na²ngu̱ x⁵) v.t. escudriñar,  estudiar Matemáticawa nangu̱ x erü nüxü̃ nangúchaü. Estudia  matemática porque le gusta.",Matemáticawa nangu̱ x erü nüxü̃ nangúchaü. Estudia  matemática porque le gusta.,Matemáticawa nangu̱ x erü nüxü̃ nangúchaü.,Estudia  matemática porque le gusta.
nawa nanguxchaü̃ ,(na²wa¹ na²ngux³chaü⁵),v.t., aspirar ,"nawa nanguxchaü̃ (na²wa¹ na²ngux³chaü⁵) v.t. aspirar (a ser),  ambicionar, pretender Dutúruwa nanguxchaü̃ rü ngẽmacax Dimawa  naxũ. Aspira a ser médico y por eso se ha ido a Lima.",Dutúruwa nanguxchaü̃ rü ngẽmacax Dimawa  naxũ. Aspira a ser médico y por eso se ha ido a Lima.,Dutúruwa nanguxchaü̃ rü ngẽmacax Dimawa  naxũ.,Aspira a ser médico y por eso se ha ido a Lima.
nawa narüngaxi ,(na²wa¹ na²rü³ngax³i³),v.t., chocar ,nawa narüngaxi (na²wa¹ na²rü³ngax³i³)  v.t. chocar Wüxi ya autu rü nawa narüngaxi.  Un carro lo chocó.,Wüxi ya autu rü nawa narüngaxi.  Un carro lo chocó.,Wüxi ya autu rü nawa narüngaxi.,Un carro lo chocó.
nawa narüwax ,(na²wa¹ na²rü³wa̱x⁵),v.i.,  hundirse ,nawa narüwax (na²wa¹ na²rü³wa̱x⁵) v.i.  hundirse (en el barro) Yema buxü̃ rü nawa narüwax i acharaxü̃. Ese niño  se hundió en el barro.,Yema buxü̃ rü nawa narüwax i acharaxü̃. Ese niño  se hundió en el barro.,Yema buxü̃ rü nawa narüwax i acharaxü̃.,Ese niño  se hundió en el barro.
nawa naxǘ ̃ ,(na²wa¹ nax²ü²),v.t.," unirse, asociarse, aliarse ","nawa naxǘ ̃ (na²wa¹ nax²ü²) v.t. unirse, asociarse, aliarse Yimá  ngextü̱ xücü rü nawa naxǘ ̃ ga yema  cuxgütaetanüxü̃gü. El joven se unió a ese equipo de futbolistas.",Yimá  ngextü̱ xücü rü nawa naxǘ ̃ ga yema  cuxgütaetanüxü̃gü. El joven se unió a ese equipo de futbolistas.,Yimá  ngextü̱ xücü rü nawa naxǘ ̃ ga yema  cuxgütaetanüxü̃gü.,El joven se unió a ese equipo de futbolistas.
nawa ngẽxmaxü̃ ,(na²wa¹ ngẽx⁴max²ü²),adj., que contiene ,nawa ngẽxmaxü̃ (na²wa¹ ngẽx⁴max²ü²) adj. que contiene Chanaxwa̱ xe i  ngẽma pexchi i nawa ngẽxmaxü̃ i ui.  Quiero esa canasta que contienefariña.,Chanaxwa̱ xe i  ngẽma pexchi i nawa ngẽxmaxü̃ i ui.  Quiero esa canasta que contienefariña.,Chanaxwa̱ xe i  ngẽma pexchi i nawa ngẽxmaxü̃ i ui.,Quiero esa canasta que contienefariña.
nawa rüxoxégaxü̃ ,(na²wa¹ rüx³ox²e¹gax³ü²),adj., asqueroso ,nawa rüxoxégaxü̃ (na²wa¹ rüx³ox²e¹gax³ü²) adj. asqueroso Ngẽma guxchire  rü poraãcü nawa rüxoxégaxü̃.  Esa basura es muy  asquerosa.  Véase nawa ixãũã́ ̃xü̃,Ngẽma guxchire  rü poraãcü nawa rüxoxégaxü̃.  Esa basura es muy  asquerosa.,Ngẽma guxchire  rü poraãcü nawa rüxoxégaxü̃.,Esa basura es muy  asquerosa.
nawaama nawaxüchi ,(na²wa¹a³ma³ na²wa̱x  ⁵ü²chi²),v.i., caer ,nawaama nawaxüchi (na²wa¹a³ma³ na²wa̱x  ⁵ü²chi²) v.i. caer (sobre algo)Ngẽma naichacüxü rü ĩpataétüwaama  nawaxüchi. La rama cayó sobre el techo  de la casa.,Ngẽma naichacüxü rü ĩpataétüwaama  nawaxüchi. La rama cayó sobre el techo  de la casa.,Ngẽma naichacüxü rü ĩpataétüwaama  nawaxüchi.,La rama cayó sobre el techo  de la casa.
nawaane ,(na²wa²a⁵ne⁵),v.e., estar oscuro  ,nawaane (na²wa²a⁵ne⁵) v.e. estar oscuro  Véase naxẽane,,,
nawaiane ,(na²wai³⁵a⁵ne⁵),v.e., estar mojada  ,nawaiane (na²wai³⁵a⁵ne⁵) v.e. estar mojada  (tierra) Poraãcü nawaiane erü napuecha.  La tierra está muy mojada porque sigue lloviendo.,Poraãcü nawaiane erü napuecha.  La tierra está muy mojada porque sigue lloviendo.,Poraãcü nawaiane erü napuecha.,La tierra está muy mojada porque sigue lloviendo.
nawãĩnaxã ,(na²wãĩ⁴nax²ã³),v.i.," atorarse,  atragantarse ","nawãĩnaxã (na²wãĩ⁴nax²ã³) v.i. atorarse,  atragantarse (con comida)  Namachimaxã nawãĩnaxã. Se atragantó con un pedazo de carne.",Namachimaxã nawãĩnaxã. Se atragantó con un pedazo de carne.,Namachimaxã nawãĩnaxã.,Se atragantó con un pedazo de carne.
nawãĩ̱ xãchiparacü ,(na⁵wãĩ̱ ̱x⁵ã²chi²pa³ra³cü²),s.m., pierna  encogida  ,nawãĩ̱ xãchiparacü (na⁵wãĩ̱ ̱x⁵ã²chi²pa³ra³cü²) s.m. pierna  encogida  Véase natúãchiparacü,,,
nawãĩ̱ xcutae ,(na²wãĩ̱ x̱ ⁵cu⁵ta³e²),v.t.,  aserrar ,nawãĩ̱ xcutae (na²wãĩ̱ x̱ ⁵cu⁵ta³e²) v.t.  aserrar (madera) Cherapataü̃wa  nawãĩ̱ x̱ cutae i duü̃xü̃gü. La gente está aserrando madera en el  aserradero.,Cherapataü̃wa  nawãĩ̱ x̱ cutae i duü̃xü̃gü. La gente está aserrando madera en el  aserradero.,Cherapataü̃wa  nawãĩ̱ x̱ cutae i duü̃xü̃gü.,La gente está aserrando madera en el  aserradero.
nawaxchax̱ müxü̃ ,(na²wax²³cha̱x⁵müx³ü²),v.i.," tener oscura, tener negra ","nawaxchax̱ müxü̃ (na²wax²³cha̱x⁵müx³ü²)  v.i. tener oscura, tener negra (la piel) Ngẽma  duü̃xü̃gü rü nawaxchax̱ müxü̃. Esa gente tiene piel oscura.",Ngẽma  duü̃xü̃gü rü nawaxchax̱ müxü̃. Esa gente tiene piel oscura.,Ngẽma  duü̃xü̃gü rü nawaxchax̱ müxü̃.,Esa gente tiene piel oscura.
nawaxmüane ,(na²wax⁴mü⁵a⁵ne⁵),v.e., ser fértil  ,nawaxmüane (na²wax⁴mü⁵a⁵ne⁵) v.e. ser fértil  (la tierra) Ngẽma putüragü rü nabaxca erü nawaxmüane. Las flores  florecen porque la tierra es fértil.,Ngẽma putüragü rü nabaxca erü nawaxmüane. Las flores  florecen porque la tierra es fértil.,Ngẽma putüragü rü nabaxca erü nawaxmüane.,Las flores  florecen porque la tierra es fértil.
nawaxü ,(na²wax²ü³),v.i.," hacerse negro, ennegrecerse ","nawaxü (na²wax²ü³) v.i. hacerse negro, ennegrecerse Üxüemamaxã nawaxü  ya buetare. La olla se ennegrece con el humo del fuego.",La olla se ennegrece con el humo del fuego.,,
nawe1 ,(na²³we⁵),s.n., polilla,nawe1 (na²³we⁵) s.n. polilla,,,
nawe2 ,(na²we¹),posp.," tras, detrás de ","nawe2 (na²we¹) posp. tras, detrás de Airu rü nawe nangẽ i peruta. El  perro corre tras la pelota.",Airu rü nawe nangẽ i peruta. El  perro corre tras la pelota.,Airu rü nawe nangẽ i peruta.,El  perro corre tras la pelota.
nawe nangẽ ,(na²we¹ na²ngẽ⁴),v.t., perseguir,nawe nangẽ (na²we¹ na²ngẽ⁴) v.t. perseguirAiru rü nawe nangẽ i ngẽma naexü̃. El  perro persigue al  animal. Var. nawe ningẽchigü,Airu rü nawe nangẽ i ngẽma naexü̃. El  perro persigue al  animal. Var.,Airu rü nawe nangẽ i ngẽma naexü̃. El  perro persigue al  animal.,Var.
nawe narüxĩ ,(na²³we¹ na²rüx³ĩ³⁵),v.t.," seguir, acompañar ","nawe narüxĩ (na²³we¹ na²rüx³ĩ³⁵) v.t. seguir, acompañar (sujeto  plural) Norü papáwe narüxĩ. Acompañaron a su papá. [suj. sing. nawe  narüxũ]  Véase inayaxümücü",Norü papáwe narüxĩ. Acompañaron a su papá. [suj. sing.,Norü papáwe narüxĩ.,Acompañaron a su papá. [suj. sing.
nawe narüxũ ,(na²³we¹ na²rüx³ũ²³),v.t.," seguir, acompañar ","nawe narüxũ (na²³we¹ na²rüx³ũ²³) v.t. seguir, acompañar (sujeto  singular) Norü papáwe narüxũ. Se fue acompañando a su papá. [suj. pl.  nawe narüxí]  Véase ínayaxümücü",Norü papáwe narüxũ. Se fue acompañando a su papá. [suj. pl.,Norü papáwe narüxũ.,Se fue acompañando a su papá. [suj. pl.
nawe ningẽchigü ,(na²we¹ ni²³ngẽ⁴chi⁵gü⁵),v.t., perseguir ,nawe ningẽchigü (na²we¹ ni²³ngẽ⁴chi⁵gü⁵)  v.t. perseguir Norü airu rü naexü̃we ningẽchigü. El perro persigue al  animal del monte.,Norü airu rü naexü̃we ningẽchigü. El perro persigue al  animal del monte.,Norü airu rü naexü̃we ningẽchigü.,El perro persigue al  animal del monte.
naweama ,(na²we¹a³ma³),posp., detrás de  ,naweama (na²we¹a³ma³) posp. detrás de  Naweama ya chaupata rü choxǘ ̃̃ nangexma i putüranecü. Tengo una  plantación de flores detrás de mi casa.,Naweama ya chaupata rü choxǘ ̃̃ nangexma i putüranecü. Tengo una  plantación de flores detrás de mi casa.,Naweama ya chaupata rü choxǘ ̃̃ nangexma i putüranecü.,Tengo una  plantación de flores detrás de mi casa.
